EmployeeID,Department,Age,EducationLevel,JobRole,YearsAtCompany,MonthlyHoursWorked,Overtime,Salary,JobSatisfaction,PerformanceScore,Absenteeism,PromotionsLast5Years,LastEvaluationScore
42,Product,43,Master's,Sales Associate,1,219,Yes,Low,3,9,8,1,0.94
43,Engineering,53,PhD,Manager,7,185,No,High,3,10,14,1,0.95
44,Sales,39,Bachelor's,Team Lead,8,213,Yes,High,5,3,4,0,0.76
45,Sales,57,PhD,Developer,19,219,No,Low,1,1,3,1,0.73
46,Product,30,Bachelor's,Sales Associate,7,166,Yes,High,2,5,13,2,0.62
47,Sales,47,Master's,Sales Associate,4,218,Yes,Medium,5,9,13,1,0.93
48,Product,43,PhD,Analyst,6,211,Yes,High,4,4,2,1,0.9
49,HR,59,Master's,Manager,10,182,No,Medium,4,10,9,0,0.93
50,Product,44,Master's,Team Lead,6,182,No,Medium,4,8,9,2,0.61
51,HR,38,PhD,Team Lead,17,198,Yes,Medium,2,6,12,0,0.55
52,Engineering,47,PhD,Team Lead,7,226,Yes,Medium,4,2,4,2,0.85
53,Engineering,59,Bachelor's,Team Lead,12,211,No,Low,4,4,13,2,0.96
54,Sales,23,Bachelor's,Developer,18,171,No,High,3,1,9,1,0.96
55,HR,27,Master's,Team Lead,8,124,No,Medium,1,5,13,1,0.76
56,HR,28,Bachelor's,Developer,19,254,No,Medium,1,2,5,1,0.82
57,HR,34,PhD,Developer,11,161,Yes,Low,2,4,3,1,0.56
58,HR,48,PhD,Analyst,7,123,No,High,4,5,14,0,0.64
59,Marketing,32,PhD,Analyst,5,220,No,Low,3,9,4,0,0.77
60,Marketing,36,Master's,Manager,8,164,No,Medium,1,9,4,2,0.94
61,Engineering,30,Bachelor's,Team Lead,16,120,Yes,Medium,2,10,9,1,0.74
62,Marketing,29,Bachelor's,Developer,14,194,Yes,High,3,10,1,2,0.8
63,Sales,27,Bachelor's,Analyst,4,198,No,Low,4,6,3,0,0.53
64,Marketing,25,Bachelor's,Team Lead,7,248,No,High,2,1,1,1,0.98
65,Product,32,Bachelor's,Analyst,12,120,Yes,Medium,3,4,8,1,0.75
66,HR,49,Bachelor's,Analyst,8,216,No,Low,1,6,13,1,0.58
67,Engineering,47,Bachelor's,Manager,12,236,No,Medium,5,9,11,0,0.67
68,Product,25,Master's,Developer,17,131,No,High,1,1,13,2,0.76
69,Marketing,36,Bachelor's,Developer,5,149,No,Medium,5,6,2,1,0.57
70,Product,40,Bachelor's,Analyst,19,253,No,Low,2,6,11,1,0.6
71,Product,27,Bachelor's,Team Lead,12,189,No,Medium,3,9,8,2,0.96
72,Product,26,Master's,Developer,3,150,No,High,3,3,10,2,0.94
73,Marketing,39,Bachelor's,Manager,17,138,No,Medium,3,1,11,2,0.56
74,Product,27,Master's,Developer,10,226,No,Medium,4,8,1,1,0.64
75,Product,52,Master's,Manager,6,136,No,High,1,10,10,1,0.82
76,Product,46,Master's,Team Lead,9,239,No,High,5,8,14,1,0.63
77,Sales,25,PhD,Analyst,18,201,No,Medium,4,1,12,2,0.5
78,Product,27,Bachelor's,Team Lead,17,129,No,High,2,4,6,1,0.85
79,Marketing,58,PhD,Team Lead,13,257,No,Low,2,2,9,0,0.6
80,Engineering,46,Bachelor's,Manager,6,196,No,Medium,4,1,11,1,0.66
81,Sales,55,Master's,Team Lead,19,197,No,High,5,9,1,2,0.64
82,HR,40,Master's,Analyst,13,207,Yes,Medium,2,1,1,0,0.58
83,HR,55,Bachelor's,Developer,2,241,No,Low,1,7,1,2,0.57
84,Marketing,36,Bachelor's,Manager,11,227,No,Low,2,3,4,1,0.57
85,Sales,29,Master's,Manager,4,231,No,High,5,2,9,0,0.98
86,Sales,55,Bachelor's,Team Lead,17,196,Yes,Medium,1,4,4,1,0.86
87,HR,39,Bachelor's,Team Lead,7,144,Yes,Low,4,5,11,2,0.97
88,Engineering,51,PhD,Team Lead,1,125,No,Low,5,6,7,1,0.79
89,Product,34,Master's,Sales Associate,8,154,Yes,Medium,1,2,0,1,0.67
90,Engineering,54,PhD,Analyst,4,196,No,Low,1,7,12,2,0.58
91,Sales,56,Master's,Team Lead,5,163,No,Low,1,10,1,2,0.74
92,Marketing,45,PhD,Sales Associate,13,179,No,Low,5,2,7,1,0.75
93,Engineering,47,Bachelor's,Manager,18,141,No,Low,3,4,12,2,0.89
94,Engineering,22,Bachelor's,Analyst,9,228,Yes,Low,2,9,7,1,0.76
95,Sales,34,Master's,Sales Associate,16,132,Yes,High,3,3,6,1,0.6
96,HR,31,Master's,Manager,7,232,No,Low,2,7,2,0,0.91
97,Sales,40,Master's,Developer,11,218,Yes,Low,5,1,11,1,0.57
98,Engineering,26,PhD,Developer,2,253,No,Medium,2,5,9,1,0.76
99,Engineering,29,Master's,Analyst,5,140,No,Medium,5,5,14,2,0.52
100,Marketing,25,Bachelor's,Sales Associate,5,244,No,High,1,1,14,0,0.68
101,Engineering,34,Master's,Sales Associate,14,218,No,High,4,4,2,0,0.84
102,Marketing,59,Bachelor's,Manager,14,143,No,Low,3,4,10,0,0.57
103,Engineering,40,PhD,Developer,10,139,Yes,Medium,3,7,12,1,0.76
104,HR,29,Bachelor's,Developer,9,205,No,Low,5,8,2,0,0.77
105,Engineering,48,Bachelor's,Team Lead,7,167,No,Medium,2,7,7,0,0.95
106,Marketing,51,PhD,Sales Associate,13,126,Yes,High,2,8,1,2,0.73
107,Marketing,25,Bachelor's,Analyst,3,188,Yes,Low,4,2,13,2,0.54
108,Marketing,32,PhD,Developer,4,144,No,Low,1,7,10,1,0.57
109,Engineering,42,PhD,Analyst,9,136,Yes,High,2,9,14,1,0.64
110,Marketing,23,PhD,Analyst,17,245,Yes,Medium,2,3,6,1,0.9
111,Product,42,Bachelor's,Team Lead,6,148,Yes,High,1,6,7,2,0.63
112,HR,38,PhD,Developer,9,148,No,Low,4,1,6,0,0.8
113,Engineering,50,Master's,Analyst,6,233,No,Medium,2,3,2,0,0.54
114,Marketing,48,Bachelor's,Developer,5,221,No,Low,5,6,12,0,0.6
115,HR,45,Bachelor's,Team Lead,12,209,No,High,1,10,1,2,0.81
116,Engineering,24,Master's,Manager,3,253,Yes,Medium,2,10,13,2,0.55
117,HR,31,Master's,Manager,7,186,Yes,Low,4,10,8,2,0.86
118,Product,24,Master's,Manager,7,197,No,Medium,3,4,3,2,0.72
119,Engineering,47,Master's,Analyst,13,125,No,Medium,5,1,0,0,0.64
120,Marketing,58,PhD,Analyst,18,149,No,Medium,5,6,8,0,0.94
121,Sales,48,Bachelor's,Analyst,17,211,No,Medium,5,3,9,2,0.84
122,Marketing,26,Bachelor's,Developer,6,181,No,High,5,4,7,2,0.53
123,Engineering,32,Master's,Sales Associate,1,148,No,Low,3,4,9,0,0.84
124,Marketing,34,PhD,Developer,11,217,Yes,Low,3,10,2,1,0.6
125,Sales,55,PhD,Manager,18,225,No,Low,3,1,3,1,0.96
126,Sales,59,Master's,Sales Associate,13,229,No,High,3,7,12,2,0.58
127,Sales,54,Master's,Team Lead,5,241,No,Low,4,7,1,2,0.81
128,Marketing,55,Master's,Sales Associate,11,124,Yes,Medium,2,2,9,1,0.62
129,Engineering,48,Master's,Team Lead,2,248,No,Low,3,7,10,2,0.97
130,Marketing,57,PhD,Analyst,10,131,Yes,Medium,3,6,3,1,0.66
131,Sales,47,Bachelor's,Manager,17,219,Yes,Medium,4,7,14,0,0.79
132,Product,46,PhD,Analyst,14,146,No,Medium,1,3,5,0,0.56
133,Sales,40,Bachelor's,Developer,10,135,No,High,4,1,4,2,0.74
134,Sales,42,Bachelor's,Analyst,13,226,No,Low,1,2,11,1,0.8
135,Engineering,52,Bachelor's,Analyst,13,236,No,High,5,9,3,2,0.89
136,Marketing,50,PhD,Sales Associate,12,190,No,Medium,4,1,2,2,0.78
137,Engineering,30,Master's,Team Lead,17,215,No,Low,5,5,13,0,0.85
138,Marketing,40,Master's,Manager,19,122,No,High,1,9,6,1,0.93
139,Sales,47,PhD,Analyst,6,137,No,High,4,3,0,1,0.65
140,Sales,46,PhD,Analyst,15,185,Yes,Medium,1,8,9,2,0.67
141,Sales,50,Bachelor's,Team Lead,5,188,No,Medium,1,9,8,0,0.51
142,Marketing,46,PhD,Developer,19,214,Yes,Medium,5,1,14,1,0.78
143,Sales,40,Bachelor's,Developer,5,124,No,Low,1,7,0,1,0.99
144,Engineering,25,PhD,Sales Associate,19,199,Yes,High,2,5,8,2,0.87
145,Engineering,41,Master's,Team Lead,16,247,No,Medium,3,1,10,0,1.0
146,Sales,22,Master's,Analyst,1,141,No,High,4,6,4,1,0.73
147,Product,32,Master's,Developer,18,241,Yes,Medium,5,8,13,0,0.87
148,Marketing,25,PhD,Developer,6,235,No,High,3,2,3,2,0.58
149,Product,28,Bachelor's,Manager,12,222,No,Medium,5,3,6,2,0.71
150,Sales,49,Master's,Manager,13,130,Yes,High,2,1,8,1,0.82
151,Product,57,Bachelor's,Sales Associate,6,136,Yes,Low,3,9,4,0,0.73
152,Marketing,28,Master's,Developer,9,122,No,Low,4,10,2,1,0.51
153,Marketing,41,Bachelor's,Developer,15,166,No,Low,1,6,4,1,0.66
154,Product,56,PhD,Team Lead,17,230,No,Medium,1,7,5,0,0.84
155,HR,42,PhD,Manager,17,152,Yes,Medium,3,7,7,2,0.7
156,Marketing,22,Bachelor's,Manager,11,249,Yes,High,5,4,2,0,0.72
157,Sales,58,PhD,Developer,6,156,Yes,High,4,3,3,0,0.93
158,Sales,24,Bachelor's,Sales Associate,16,209,No,Low,1,5,1,1,0.63
159,Sales,55,PhD,Developer,4,128,No,Medium,3,2,9,2,0.81
160,HR,34,PhD,Analyst,7,167,Yes,Medium,3,9,11,2,0.92
161,Sales,37,Bachelor's,Manager,17,211,No,Medium,2,7,13,1,0.9
162,Product,55,Master's,Manager,19,120,No,Medium,4,3,6,1,0.62
163,HR,45,Master's,Team Lead,17,146,No,Low,4,10,10,2,0.53
164,Marketing,34,Master's,Sales Associate,11,231,No,Medium,5,6,1,1,0.64
165,HR,27,Bachelor's,Team Lead,16,249,No,Medium,5,2,6,0,0.59
166,Sales,23,Master's,Manager,2,213,No,Low,3,7,5,0,0.51
167,Sales,32,PhD,Sales Associate,11,123,No,Low,2,10,13,1,0.65
168,Product,28,Master's,Developer,13,123,No,High,3,7,0,0,0.76
169,Marketing,28,PhD,Developer,3,218,No,Low,5,1,7,1,0.83
170,Marketing,33,Master's,Sales Associate,19,236,No,High,1,4,7,2,0.69
171,HR,43,Master's,Analyst,8,230,No,Low,2,10,5,1,0.6
172,Sales,24,Bachelor's,Developer,8,140,No,Low,4,8,10,2,0.78
173,Sales,34,PhD,Team Lead,2,253,Yes,Medium,1,10,9,1,0.88
174,HR,51,PhD,Developer,13,203,No,Medium,1,1,1,1,0.85
175,Engineering,31,PhD,Developer,13,123,No,Low,4,7,0,0,0.93
176,Sales,30,Master's,Analyst,8,203,No,Medium,3,9,3,0,0.63
177,Marketing,27,Master's,Developer,13,168,No,High,2,3,9,0,0.75
178,HR,23,Bachelor's,Team Lead,17,214,No,Low,1,10,13,0,0.74
179,HR,37,Bachelor's,Team Lead,17,255,No,High,3,9,8,1,0.66
180,Product,34,Bachelor's,Team Lead,7,124,No,Low,4,2,12,0,0.84
181,Sales,34,Master's,Manager,5,231,No,Low,3,4,3,1,0.57
182,Sales,43,Bachelor's,Developer,14,258,No,Low,1,5,2,1,0.9
183,Marketing,40,PhD,Developer,13,163,No,Low,2,5,11,2,0.52
184,Engineering,47,Bachelor's,Sales Associate,2,126,No,Low,2,2,1,1,0.69
185,Marketing,35,Master's,Analyst,19,120,No,Medium,4,2,1,0,0.8
186,Engineering,52,Bachelor's,Manager,7,171,Yes,High,3,6,8,2,0.71
187,Product,50,PhD,Developer,3,216,No,Low,5,10,6,2,0.83
188,Marketing,43,PhD,Team Lead,15,143,No,Medium,2,7,1,2,0.52
189,Marketing,28,PhD,Manager,14,138,No,Low,5,9,11,1,0.93
190,Sales,58,Master's,Manager,6,152,No,Low,3,2,13,0,0.54
191,Marketing,48,PhD,Team Lead,14,122,Yes,High,3,10,0,2,0.64
192,Sales,52,Bachelor's,Sales Associate,12,132,No,Low,5,1,12,1,0.65
193,Product,27,Bachelor's,Developer,6,184,No,High,4,1,12,1,0.51
194,Engineering,37,PhD,Analyst,18,246,Yes,Low,5,1,13,2,0.55
195,Marketing,59,Master's,Sales Associate,13,192,Yes,Medium,1,3,13,0,0.93
196,Product,59,PhD,Analyst,7,123,Yes,Low,5,9,14,1,0.89
197,Sales,53,Bachelor's,Analyst,16,246,No,Medium,5,2,12,2,0.87
198,Engineering,54,Bachelor's,Developer,10,251,No,Medium,4,1,0,1,0.84
199,Marketing,38,PhD,Manager,11,254,Yes,Medium,1,9,3,0,0.54
200,Marketing,54,Master's,Team Lead,9,178,No,Medium,3,2,8,0,0.65
201,HR,32,Bachelor's,Analyst,17,122,Yes,Low,1,7,13,0,0.5
202,Marketing,34,Master's,Sales Associate,6,178,No,Low,5,1,6,0,0.53
203,Product,51,PhD,Developer,7,230,Yes,Medium,3,9,2,1,0.52
204,Marketing,22,Bachelor's,Developer,17,202,No,Medium,4,9,8,0,0.6
205,Marketing,51,Bachelor's,Sales Associate,7,200,No,High,3,1,1,2,0.53
206,HR,48,Bachelor's,Analyst,17,177,Yes,Low,4,9,12,0,0.51
207,HR,44,Bachelor's,Analyst,7,153,No,High,5,10,8,0,0.62
208,HR,41,Bachelor's,Analyst,2,189,No,Medium,1,4,14,2,0.9
209,Marketing,27,Bachelor's,Sales Associate,16,199,No,High,1,4,2,0,0.53
210,Engineering,58,PhD,Analyst,2,209,No,High,1,1,9,0,0.99
211,Engineering,41,Bachelor's,Sales Associate,15,144,Yes,Medium,1,8,11,2,0.83
212,Product,58,Bachelor's,Developer,1,220,No,High,1,5,7,0,0.93
213,Marketing,27,PhD,Sales Associate,5,241,No,High,2,3,8,1,0.83
214,HR,50,Bachelor's,Team Lead,8,184,No,Low,5,2,12,1,0.89
215,Engineering,34,Bachelor's,Manager,3,197,No,Medium,1,7,9,0,0.65
216,Marketing,48,PhD,Manager,18,132,No,Low,1,10,0,1,0.63
217,HR,41,Bachelor's,Team Lead,15,233,No,Low,4,3,1,2,0.83
218,Product,34,Bachelor's,Sales Associate,5,169,Yes,Medium,5,4,1,1,0.78
219,Engineering,29,PhD,Manager,10,251,No,High,4,5,1,0,0.75
220,Engineering,38,Bachelor's,Team Lead,9,235,No,Medium,1,10,2,0,0.59
221,Sales,51,PhD,Analyst,17,195,Yes,Medium,5,10,8,0,0.62
222,HR,22,Bachelor's,Team Lead,8,137,No,Medium,5,8,14,0,0.77
223,Sales,45,Bachelor's,Manager,12,188,Yes,Medium,5,3,7,2,0.7
224,Product,37,PhD,Sales Associate,11,167,Yes,High,3,1,6,0,0.98
225,Sales,32,Master's,Sales Associate,14,194,No,Low,2,2,13,2,0.78
226,Marketing,25,PhD,Sales Associate,16,236,Yes,High,2,7,1,2,0.72
227,Engineering,25,Master's,Manager,10,222,No,Low,1,9,8,0,0.98
228,Sales,38,Master's,Analyst,6,156,No,Medium,2,8,1,1,0.55
229,Sales,31,Bachelor's,Sales Associate,3,145,Yes,High,5,10,7,1,0.64
230,HR,42,PhD,Developer,7,155,No,Medium,3,8,4,1,0.67
231,HR,59,Master's,Analyst,10,184,Yes,Medium,2,2,8,0,0.93
232,Sales,39,Master's,Team Lead,14,128,Yes,Medium,2,4,8,1,0.88
233,Marketing,31,Master's,Developer,6,126,No,High,3,3,4,2,0.65
234,Sales,37,Master's,Analyst,7,221,No,Medium,4,8,0,1,0.94
235,Marketing,36,PhD,Manager,4,255,No,Low,1,3,7,2,0.53
236,Sales,55,Bachelor's,Developer,12,202,No,Medium,5,9,9,1,0.75
237,Product,26,Bachelor's,Analyst,11,240,No,High,3,8,2,2,0.83
238,Product,38,Master's,Analyst,12,137,No,High,4,7,0,1,0.66
239,Sales,58,Bachelor's,Analyst,15,123,No,Medium,1,4,6,1,0.53
240,HR,29,Master's,Analyst,12,246,No,Low,4,6,12,2,0.63
241,Marketing,45,Bachelor's,Sales Associate,17,128,Yes,Medium,1,1,10,1,0.74
242,Product,49,Bachelor's,Developer,4,167,No,High,2,5,14,1,0.66
243,Marketing,29,PhD,Analyst,18,163,Yes,Medium,3,6,8,1,0.71
244,Engineering,44,Master's,Team Lead,17,123,Yes,Medium,1,10,5,0,0.55
245,HR,56,PhD,Analyst,11,164,Yes,High,3,7,7,0,0.51
246,HR,52,Bachelor's,Sales Associate,10,195,No,High,3,6,9,1,0.94
247,Engineering,38,Master's,Developer,4,169,No,High,4,2,13,1,0.54
248,HR,49,Master's,Developer,16,170,No,High,5,7,3,0,0.65
249,Product,33,Master's,Analyst,5,258,No,Low,4,6,5,2,0.83
250,Engineering,45,Master's,Analyst,7,222,Yes,Medium,4,1,11,1,0.92
251,Product,36,Master's,Team Lead,8,182,Yes,High,5,9,10,1,0.66
252,Product,52,Master's,Developer,18,202,Yes,High,5,9,12,2,0.83
253,Engineering,48,Bachelor's,Developer,13,182,No,Medium,4,4,0,2,0.74
254,Marketing,56,Master's,Developer,7,237,No,Low,3,8,3,2,0.53
255,Marketing,39,Bachelor's,Manager,12,205,Yes,High,2,6,13,1,0.7
256,HR,57,PhD,Developer,12,209,No,High,5,3,11,2,0.51
257,Engineering,29,Bachelor's,Developer,15,121,Yes,Low,2,10,0,2,0.98
258,Product,59,PhD,Team Lead,12,258,No,Low,3,6,8,0,0.88
259,Marketing,26,Master's,Team Lead,7,240,Yes,High,5,1,4,2,0.67
260,Marketing,35,Bachelor's,Sales Associate,14,133,No,High,1,5,14,1,0.62
261,HR,59,Bachelor's,Team Lead,14,186,No,High,1,10,8,1,0.7
262,HR,41,Bachelor's,Developer,18,255,No,Medium,4,7,3,0,0.66
263,HR,30,PhD,Developer,9,160,No,High,2,3,0,1,0.69
264,HR,54,Master's,Developer,5,176,No,Low,1,7,9,1,0.96
265,Engineering,39,Bachelor's,Team Lead,19,205,No,Low,4,2,6,0,0.7
266,Sales,27,PhD,Analyst,17,157,No,Low,4,5,3,2,0.87
267,Marketing,58,Bachelor's,Manager,3,254,No,High,4,8,10,2,0.58
268,HR,23,Bachelor's,Sales Associate,9,120,No,High,3,4,12,1,0.77
269,Product,51,Bachelor's,Analyst,12,256,Yes,Low,2,8,3,0,0.75
270,Marketing,27,Bachelor's,Manager,16,243,No,Medium,5,1,0,2,0.8
271,HR,38,PhD,Team Lead,16,212,No,High,4,6,6,1,0.84
272,HR,44,Master's,Sales Associate,14,183,No,Low,5,3,12,2,0.93
273,Engineering,52,Master's,Sales Associate,15,177,No,Medium,1,9,12,1,0.61
274,Sales,41,Bachelor's,Team Lead,15,220,No,Low,3,10,5,2,0.69
275,Sales,26,PhD,Analyst,19,159,Yes,High,5,6,2,2,0.53
276,Engineering,42,Master's,Manager,15,229,Yes,Medium,4,1,5,1,0.81
277,Product,32,Master's,Developer,14,211,No,Medium,3,7,1,2,0.97
278,Sales,25,Bachelor's,Developer,2,215,Yes,High,4,1,1,1,0.7
279,Product,44,Bachelor's,Manager,5,193,Yes,High,3,2,14,0,0.99
280,Marketing,59,PhD,Developer,11,240,No,High,5,4,8,2,0.8
281,Marketing,51,Master's,Analyst,19,127,No,Medium,5,5,9,0,0.61
282,Sales,39,Bachelor's,Team Lead,5,219,No,Low,1,7,4,1,0.76
283,Sales,52,PhD,Developer,9,148,No,Low,2,1,13,2,0.82
284,Marketing,51,PhD,Team Lead,10,242,No,Low,4,8,0,2,0.83
285,Marketing,55,PhD,Developer,15,205,No,High,4,5,9,2,0.82
286,Sales,52,Master's,Developer,14,131,Yes,High,1,4,8,0,0.59
287,Marketing,59,Master's,Sales Associate,13,123,No,Low,3,4,4,2,0.6
288,Sales,46,Master's,Developer,15,138,No,High,3,4,7,2,0.62
289,Engineering,38,PhD,Sales Associate,9,166,No,High,5,3,5,1,0.87
290,HR,57,PhD,Manager,14,225,Yes,Low,5,2,7,2,0.75
291,Sales,51,Bachelor's,Developer,10,231,No,Low,4,4,4,2,0.84
292,Product,23,Bachelor's,Developer,15,174,No,High,2,9,3,0,0.9
293,Sales,45,Master's,Developer,13,231,No,Medium,4,2,1,0,0.78
294,Marketing,30,Master's,Sales Associate,6,191,No,High,3,10,9,2,0.74
295,Product,22,Bachelor's,Developer,14,221,No,Medium,2,9,10,0,0.7
296,Product,45,Master's,Analyst,12,230,No,Medium,2,9,1,2,0.77
297,HR,59,Bachelor's,Manager,13,194,Yes,Medium,1,5,8,2,0.57
298,Sales,48,Bachelor's,Team Lead,10,239,No,Medium,5,7,0,2,0.89
299,Engineering,47,Bachelor's,Team Lead,18,189,No,Medium,2,4,6,2,0.96
300,Product,47,PhD,Sales Associate,9,166,No,High,4,7,14,2,0.91
301,Product,28,Master's,Manager,16,231,No,Low,3,10,5,0,0.91
302,Engineering,46,PhD,Manager,1,249,Yes,Medium,5,6,12,1,0.91
303,Product,37,Master's,Team Lead,13,246,No,Medium,4,9,6,2,0.59
304,Marketing,59,PhD,Sales Associate,17,224,Yes,Medium,3,10,0,2,1.0
305,Engineering,39,Master's,Analyst,19,233,No,High,4,1,10,2,0.83
306,Marketing,38,Master's,Manager,13,239,No,Low,4,8,4,2,0.71
307,Sales,27,Bachelor's,Team Lead,19,165,No,Medium,5,7,12,0,0.94
308,Sales,41,PhD,Analyst,18,230,No,Medium,3,5,6,2,0.79
309,Sales,44,PhD,Analyst,12,238,No,High,4,9,4,1,1.0
310,Marketing,33,Master's,Analyst,16,184,Yes,Medium,2,5,13,1,0.88
311,Product,33,PhD,Developer,18,221,No,Low,5,6,1,2,0.68
312,Product,55,Master's,Analyst,13,125,No,Low,1,6,0,2,0.87
313,Engineering,29,Master's,Analyst,9,229,No,Medium,2,7,9,2,0.87
314,Engineering,48,Bachelor's,Team Lead,8,155,No,High,3,8,11,1,0.66
315,Product,29,Master's,Sales Associate,12,229,No,Low,2,4,4,0,0.94
316,HR,54,PhD,Developer,8,155,Yes,High,4,9,3,0,0.57
317,Marketing,58,Bachelor's,Team Lead,4,244,Yes,Low,1,10,9,0,0.68
318,Marketing,40,Master's,Team Lead,10,224,Yes,Low,5,2,14,1,0.82
319,Marketing,45,Bachelor's,Analyst,10,211,No,Medium,1,2,8,1,0.74
320,HR,43,Bachelor's,Developer,12,257,Yes,Low,2,9,12,0,0.84
321,Engineering,24,Master's,Sales Associate,18,163,Yes,Medium,1,2,3,2,1.0
322,Engineering,30,PhD,Sales Associate,19,251,No,Low,3,10,13,2,0.54
323,Marketing,32,Master's,Team Lead,17,227,No,Low,4,5,7,0,0.88
324,Engineering,27,Master's,Developer,1,259,No,Low,4,9,7,0,0.91
325,Marketing,58,Master's,Team Lead,8,226,No,Medium,3,10,14,1,0.64
326,Product,23,Master's,Team Lead,19,252,Yes,Low,4,4,3,1,0.63
327,Product,58,Master's,Sales Associate,12,180,No,Low,5,2,12,1,0.72
328,Engineering,27,PhD,Sales Associate,13,122,Yes,High,4,7,2,0,0.7
329,HR,27,Bachelor's,Team Lead,14,189,Yes,High,4,5,4,0,0.75
330,Engineering,57,PhD,Sales Associate,9,167,Yes,Low,2,10,13,2,0.61
331,Sales,46,Master's,Sales Associate,9,199,No,Medium,1,10,13,1,0.75
332,Marketing,37,Bachelor's,Analyst,19,161,No,High,4,6,7,2,0.91
333,Sales,42,Bachelor's,Analyst,18,224,No,Medium,2,1,14,2,0.94
334,Engineering,31,Bachelor's,Manager,11,123,No,Low,3,8,7,2,0.83
335,Product,26,PhD,Manager,13,166,Yes,High,5,7,11,1,0.64
336,Marketing,46,PhD,Team Lead,3,232,No,Medium,3,7,9,0,0.94
337,Engineering,52,PhD,Team Lead,12,171,Yes,Medium,5,8,6,1,0.71
338,HR,24,Master's,Team Lead,7,217,No,High,2,3,9,1,0.62
339,Engineering,41,PhD,Team Lead,15,131,No,Low,3,2,7,1,0.57
340,HR,25,PhD,Sales Associate,15,223,No,Low,2,2,14,2,0.98
341,Product,35,PhD,Manager,19,182,No,High,5,6,11,2,0.54
342,HR,33,Bachelor's,Team Lead,12,256,No,Medium,4,10,9,2,0.76
343,Sales,35,Bachelor's,Analyst,2,251,No,High,2,3,14,0,0.6
344,Sales,58,Master's,Sales Associate,15,227,Yes,High,1,2,1,0,0.93
